Reference,Description,Qty,Manufacturer Part Number,Digi-Key Part #,
"C1,C3,C5,C7",CAP CER 22UF 6.3V X5R 0805,4,CL21A226MQQNNNE,1276-1100-1-ND,
"C2,C4,C6,C8",CAP CER 10UF 16V X5R 0805,4,CL21A106KOQNNNE,1276-1096-1-ND,
"C9,C12,C14,C15,C16",CAP CER 1UF 6.3V X7R 0402,5,GRM155R70J105KA12J,490-13339-1-ND,
"C10,C17,C19,C20",CAP CER 0.1UF 25V X7R 0402,4,GRM155R71E104KE14J,490-14603-1-ND,
"C11,C13,C18",CAP CER 4.7UF 6.3V X5R 0402,3,GRM155R60J475ME87D,490-5408-1-ND,
D1,DIODE SCHOTTKY 30V 200MA SOD123,1,BAT54GWJ,1727-7328-1-ND,
"J1,J2,J3,J4",CONN JACK 4COND 3.5MM SMD R/A,4,SJ-43504,CP-43504SJCT-ND,
J5,CONN HEADER SMD R/A 5POS 1.5MM,1,5040500591,WM24877CT-ND,
J6,CONN FFC FPC 14POS 0.5MM R/A,1,5034801400,WM1442CT-ND,
J7,CONN RCPT 16POS SMD GOLD,1,541020164,WM8876CT-ND,
J8,CONN RCP USB2.0 TYP C 24P SMD RA,1,2171790001,900-2171790001CT-ND,
J9,CONN FFC BOTTOM 19POS 0.5MM R/A,1,5052781933,900-5052781933CT-ND,
J10,CONN RCPT MINI HDMI 19POS SMD RA,1,2013978-1,A107963CT-ND,
J11,MICRO SD PUSH/PUSH SMALL 8C,1,5033981892,WM11190CT-ND,
J12,CONN FFC FPC 8POS 0.5MM R/A,1,5034800800,WM1388CT-ND,
J13,CONN HEADER SMD R/A 2POS 1MM,1,SM02B-SRSS-TB,455-SM02B-SRSS-TBCT-ND,
"L1,L2,L3,L4",FIXED IND 1UH 5A 24 MOHM SMD,4,IHLP1212BZER1R0M11,541-1319-1-ND,
R1,RES 66.5K OHM 1% 1/16W 0402,1,RC0402FR-0766K5L,YAG3209CT-ND,
"R2,R4,R6,R8",RES 100K OHM 1% 1/16W 0402,4,RC0402FR-07100KL,311-100KLRCT-ND,
R3,RES 91K OHM 1% 1/16W 0402,1,RC0402FR-1391KL,13-RC0402FR-1391KLCT-ND,
R5,RES 200K OHM 1% 1/16W 0402,1,RC0402FR-07200KL,311-200KLRCT-ND,
R7,RES 453K OHM 1% 1/16W 0402,1,RC0402FR-07453KL,YAG3164CT-ND,
"R9,R10",RES 5.1K OHM 1% 1/16W 0402,2,RC0402FR-075K1L,311-5.10KLRCT-ND,
R11,RES 2.2K OHM 1% 1/16W 0402,1,RC0402FR-072K2L,311-2.20KLRCT-ND,
"R12,R13,R14",RES 10K OHM 1% 1/16W 0402,3,RC0402FR-0710KL,311-10.0KLRCT-ND,
RA1,RES ARRAY 4 RES 750 OHM 1206,1,YC164-JR-07750RL,13-YC164-JR-07750RLCT-ND,
"U1,U2,U3,U4",IC REG BUCK ADJ 3A SOT5X3,4,TLV62585DRLR,296-51694-1-ND,
U5,IC SWITCH DPDT X 1 8OHM 10UQFN,1,TMUXHS221NKGR,296-TMUXHS221NKGRCT-ND,
U6,USB SD CARD READER CONTROLLER,1,GL835,-,https://www.aliexpress.us/item/3256805688846173.html
U7,IC REG LINEAR 3.3V 300MA SOT23-5,1,MIC5504-3.3YM5-TR,576-4764-1-ND,
U8,IC MCU 8BIT 16KB FLASH 20VQFN,1,ATTINY1616-MNR,ATTINY1616-MNRCT-ND,
U9,IC PWR SWTCH N-CHAN 1:1 TSOT23-6,1,SIP32510DT-T1-GE3,SIP32510DT-T1-GE3CT-ND,
U10,IC PWR DRIVER BIPOLAR 1:1 SOT23,1,DRDC3105F-7,DRDC3105F-7DICT-ND,